product_id,fullname,brand,url_part,panel_type,spd_classification,spd_confidence,ground_truth_tech,ground_truth_qd_type,match_status,blue_peak_nm,blue_fwhm_nm,green_peak_nm,green_fwhm_nm,red_peak_nm,red_fwhm_nm,num_peaks,notes,spd_image_local
96307,Dell S3225QS,Dell,dell-s3225qs,LCD,KSF,medium,,,NO_GT,455.9,21.0,547.2,1.2,630.4,9.1,10,B:456nm/21nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/dell-s3225qs_spd.jpg
88589,Dell U2725QE,Dell,dell-u2725qe,LCD,KSF,medium,,,NO_GT,456.0,17.6,547.2,1.0,630.4,10.2,10,B:456nm/18nm; G:547nm/1nm; R:630nm/10nm; narrow red suggests KSF,spd_images/monitors/dell-u2725qe_spd.jpg
88590,Dell U3225QE,Dell,dell-u3225qe,LCD,KSF,medium,,,NO_GT,455.9,16.1,547.2,1.2,630.3,10.3,10,B:456nm/16nm; G:547nm/1nm; R:630nm/10nm; G:fwhm_via_hwhm_right; narrow red suggests KSF,spd_images/monitors/dell-u3225qe_spd.jpg
49534,Dell U4025QW,Dell,dell-u4025qw,LCD,KSF,medium,,,NO_GT,457.9,17.3,547.2,1.0,630.3,10.0,11,B:458nm/17nm; G:547nm/1nm; R:630nm/10nm; narrow red suggests KSF,spd_images/monitors/dell-u4025qw_spd.jpg
127358,Dell U5226KW,Dell,dell-u5226kw,LCD,KSF,medium,,,NO_GT,460.5,15.5,532.7,31.7,631.3,14.4,5,B:461nm/15nm; G:533nm/32nm; R:631nm/14nm; narrow red suggests KSF,spd_images/monitors/dell-u5226kw_spd.jpg
51510,Gigabyte AORUS FO27Q3,Gigabyte,gigabyte-aorus-fo27q3,OLED,QD-OLED,high,,,NO_GT,449.8,21.0,532.1,29.5,637.8,36.8,4,B:450nm/21nm; G:532nm/30nm; R:638nm/37nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/gigabyte-aorus-fo27q3_spd.jpg
49896,Gigabyte AORUS FO32U2P,Gigabyte,gigabyte-aorus-fo32u2p,OLED,QD-OLED,high,,,NO_GT,445.9,21.3,528.8,30.2,634.9,37.0,9,B:446nm/21nm; G:529nm/30nm; R:635nm/37nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/gigabyte-aorus-fo32u2p_spd.jpg
101122,Gigabyte MO27Q28G,Gigabyte,gigabyte-mo27q28g,OLED,WOLED,high,,,NO_GT,452.4,21.7,534.3,54.4,625.9,39.1,3,B:452nm/22nm; G:534nm/54nm; R:626nm/39nm; panel_sub_type=WOLED,spd_images/monitors/gigabyte-mo27q28g_spd.jpg
97892,LG 24GS65F-B,LG,lg-24gs65f-b,LCD,KSF,medium,,,NO_GT,445.8,16.0,547.2,6.4,630.3,9.1,10,B:446nm/16nm; G:547nm/6nm; R:630nm/9nm; G:fwhm_via_hwhm_right; narrow red suggests KSF,spd_images/monitors/lg-24gs65f-b_spd.jpg
126131,LG 27G610A-B,LG,lg-27g610a-b,LCD,KSF,medium,,,NO_GT,441.9,15.1,547.2,3.1,630.3,9.1,10,B:442nm/15nm; G:547nm/3nm; R:630nm/9nm; G:fwhm_via_hwhm_right; narrow red suggests KSF,spd_images/monitors/lg-27g610a-b_spd.jpg
94531,LG 27G850A-B,LG,lg-27g850a-b,LCD,KSF,medium,,,NO_GT,451.9,17.4,547.2,5.9,630.4,10.6,10,B:452nm/17nm; G:547nm/6nm; R:630nm/11nm; G:fwhm_via_hwhm_right; narrow red suggests KSF,spd_images/monitors/lg-27g850a-b_spd.jpg
41927,LG 27GR83Q-B,LG,lg-27gr83q-b,LCD,KSF,medium,,,NO_GT,445.8,17.2,547.2,1.2,630.3,9.0,10,B:446nm/17nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/lg-27gr83q-b_spd.jpg
40716,LG 27GR93U-B,LG,lg-27gr93u-b,LCD,KSF,medium,,,NO_GT,452.1,17.1,547.2,1.1,630.3,9.1,10,B:452nm/17nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/lg-27gr93u-b_spd.jpg
49556,LG 27GS95QE-B,LG,lg-27gs95qe-b,OLED,WOLED,high,,,NO_GT,452.8,24.7,558.8,113.2,,,2,B:453nm/25nm; G:559nm/113nm; No red; panel_sub_type=WOLED,spd_images/monitors/lg-27gs95qe-b_spd.jpg
117624,LG 27GX700A-B,LG,lg-27gx700a-b,OLED,WOLED,high,,,NO_GT,451.7,21.4,533.4,32.0,626.1,37.7,4,B:452nm/21nm; G:533nm/32nm; R:626nm/38nm; panel_sub_type=WOLED,spd_images/monitors/lg-27gx700a-b_spd.jpg
82807,LG 27GX790A-B,LG,lg-27gx790a-b,OLED,WOLED,high,,,NO_GT,452.6,24.6,559.0,116.5,,,2,B:453nm/25nm; G:559nm/117nm; No red; panel_sub_type=WOLED,spd_images/monitors/lg-27gx790a-b_spd.jpg
127454,LG 27GX790B-B,LG,lg-27gx790b-b,OLED,WOLED,high,,,NO_GT,451.0,21.4,533.3,35.9,625.8,38.6,3,B:451nm/21nm; G:533nm/36nm; R:626nm/39nm; panel_sub_type=WOLED,spd_images/monitors/lg-27gx790b-b_spd.jpg
40717,LG 32GR93U-B,LG,lg-32gr93u-b,LCD,KSF,medium,,,NO_GT,455.6,17.0,547.2,0.9,630.3,9.0,10,B:456nm/17nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/lg-32gr93u-b_spd.jpg
49551,LG 32GS95UE-B,LG,lg-32gs95ue-b,OLED,WOLED,high,,,NO_GT,454.5,25.4,558.9,122.4,,,2,B:454nm/25nm; G:559nm/122nm; No red; panel_sub_type=WOLED,spd_images/monitors/lg-32gs95ue-b_spd.jpg
56054,LG 34GS95QE-B,LG,lg-34gs95qe-b,OLED,WOLED,high,,,NO_GT,452.9,25.2,558.9,119.0,,,2,B:453nm/25nm; G:559nm/119nm; No red; panel_sub_type=WOLED,spd_images/monitors/lg-34gs95qe-b_spd.jpg
83695,LG 45GX950A-B,LG,lg-45gx950a-b,OLED,WOLED,high,,,NO_GT,454.9,25.6,559.7,119.2,,,2,B:455nm/26nm; G:560nm/119nm; No red; panel_sub_type=WOLED,spd_images/monitors/lg-45gx950a-b_spd.jpg
