product_id,fullname,brand,url_part,panel_type,spd_classification,spd_confidence,ground_truth_tech,ground_truth_qd_type,match_status,blue_peak_nm,blue_fwhm_nm,green_peak_nm,green_fwhm_nm,red_peak_nm,red_fwhm_nm,num_peaks,notes,spd_image_local
92239,Samsung QN70F,Samsung,samsung-qn70f,LCD,QD-LCD,high,,,NO_GT,446.6,19.5,540.3,35.2,630.2,39.4,3,B:447nm/19nm; G:540nm/35nm; R:630nm/39nm,spd_images/samsung-qn70f_spd.jpg
92240,Samsung QN80F,Samsung,samsung-qn80f,LCD,QD-LCD,high,,,NO_GT,450.6,18.3,541.2,36.3,630.3,39.5,3,B:451nm/18nm; G:541nm/36nm; R:630nm/39nm,spd_images/samsung-qn80f_spd.jpg
49719,Samsung QN85D,Samsung,samsung-qn85d,LCD,QD-LCD,high,,,NO_GT,447.8,15.4,538.2,36.3,628.6,37.3,3,B:448nm/15nm; G:538nm/36nm; R:629nm/37nm,spd_images/samsung-qn85d_spd.jpg
49718,Samsung QN900D 8K,Samsung,samsung-qn900d-8k,LCD,QD-LCD,high,,,NO_GT,448.2,16.3,538.8,36.6,630.2,39.2,3,B:448nm/16nm; G:539nm/37nm; R:630nm/39nm,spd_images/samsung-qn900d-8k_spd.jpg
92242,Samsung QN900F 8K,Samsung,samsung-qn900f-8k,LCD,QD-LCD,high,,,NO_GT,449.7,16.7,540.0,36.7,630.6,39.2,3,B:450nm/17nm; G:540nm/37nm; R:631nm/39nm,spd_images/samsung-qn900f-8k_spd.jpg
49720,Samsung QN90D,Samsung,samsung-qn90d,LCD,QD-LCD,high,,,NO_GT,444.0,14.7,540.0,36.8,629.8,38.1,3,B:444nm/15nm; G:540nm/37nm; R:630nm/38nm,spd_images/samsung-qn90d_spd.jpg
92241,Samsung QN90F,Samsung,samsung-qn90f,LCD,QD-LCD,high,,,NO_GT,444.2,14.1,539.0,35.7,630.1,38.7,3,B:444nm/14nm; G:539nm/36nm; R:630nm/39nm,spd_images/samsung-qn90f_spd.jpg
57722,Samsung QN95D,Samsung,samsung-qn95d,LCD,QD-LCD,high,,,NO_GT,446.3,15.2,540.5,37.5,631.5,38.2,3,B:446nm/15nm; G:540nm/38nm; R:632nm/38nm,spd_images/samsung-qn95d_spd.jpg
88591,Samsung QN990F 8K,Samsung,samsung-qn990f-8k,LCD,QD-LCD,high,,,NO_GT,449.8,16.7,540.1,36.0,629.2,38.6,3,B:450nm/17nm; G:540nm/36nm; R:629nm/39nm,spd_images/samsung-qn990f-8k_spd.jpg
49704,Samsung S85D OLED,Samsung,samsung-s85d-oled,OLED,WOLED,high,,,NO_GT,454.1,27.1,558.6,94.0,618.3,123.1,3,B:454nm/27nm; G:559nm/94nm; R:618nm/123nm; G:fwhm_via_hwhm_left; R:fwhm_via_hwhm_right; panel_sub_type=WOLED,spd_images/samsung-s85d-oled_spd.jpg
92236,Samsung S85F OLED,Samsung,samsung-s85f-oled,OLED,QD-OLED,high,,,NO_GT,452.2,21.3,532.1,28.0,637.8,37.4,3,B:452nm/21nm; G:532nm/28nm; R:638nm/37nm; panel_sub_type=QD-OLED,spd_images/samsung-s85f-oled_spd.jpg
