snapshot_date,product_id,size_inches,best_price,price_source,color_architecture
2026-03-23,100486,32.0,949.0,amazon,WOLED
2026-05-11,49884,32.0,949.99,amazon,WOLED
2026-05-04,49884,32.0,949.99,amazon,WOLED
2026-05-18,49884,32.0,949.99,amazon,WOLED
2026-04-23,91962,32.0,954.73,amazon,QD-LCD
2026-05-18,88031,,959.99,amazon_3p,QD-OLED
2026-05-25,88031,,962.99,amazon,QD-OLED
2026-04-23,100486,32.0,988.98,amazon_3p,WOLED
2026-05-11,113604,42.0,990.0,amazon_3p,WOLED
2026-06-01,127454,27.0,994.99,amazon_3p,WOLED
2026-05-11,127454,,994.99,amazon_3p,WOLED
2026-05-18,127454,27.0,994.99,amazon_3p,WOLED
2026-06-01,100486,32.0,996.25,amazon,WOLED
2026-05-11,100486,32.0,996.25,amazon,WOLED
2026-05-04,88031,,999.0,amazon,QD-OLED
2026-05-11,84697,32.0,999.0,amazon,QD-OLED
2026-06-01,84697,32.0,999.0,amazon,QD-OLED
2026-05-18,84697,32.0,999.0,amazon,QD-OLED
2026-05-04,84697,32.0,999.0,amazon,QD-OLED
2026-05-11,88031,,999.0,amazon,QD-OLED
2026-04-27,84697,32.0,999.0,amazon,QD-OLED
2026-05-04,42065,32.0,999.0,amazon,QD-OLED
2026-05-11,42065,32.0,999.0,amazon,QD-OLED
2026-04-23,84697,32.0,999.0,amazon,QD-OLED
2026-05-25,84697,32.0,999.0,amazon,QD-OLED
2026-04-27,42065,32.0,999.0,amazon,QD-OLED
2026-03-23,127454,,999.99,amazon,WOLED
2026-05-18,46677,32.0,999.99,bestbuy,QD-OLED
2026-03-23,63127,32.0,999.99,amazon_3p,QD-OLED
2026-04-23,46677,32.0,999.99,bestbuy,QD-OLED
2026-04-06,46677,32.0,999.99,bestbuy,QD-OLED
2026-03-30,46677,32.0,999.99,bestbuy,QD-OLED
2026-03-23,84697,32.0,999.99,bestbuy,QD-OLED
2026-04-06,84697,32.0,999.99,bestbuy,QD-OLED
2026-04-27,46677,32.0,999.99,bestbuy,QD-OLED
2026-04-23,127454,27.0,999.99,bestbuy,WOLED
2026-05-04,113604,42.0,999.99,bestbuy,WOLED
2026-04-13,127454,,999.99,rtings,WOLED
2026-03-30,84697,32.0,999.99,bestbuy,QD-OLED
2026-03-23,46677,32.0,999.99,bestbuy,QD-OLED
2026-05-25,46677,32.0,999.99,bestbuy,QD-OLED
2026-04-06,63127,32.0,999.99,amazon_3p,QD-OLED
2026-04-27,127454,27.0,999.99,bestbuy,WOLED
2026-04-13,84697,32.0,999.99,bestbuy,QD-OLED
2026-05-25,91962,32.0,1012.47,amazon_3p,QD-LCD
