amazon_asin,keepa_title,keepa_brand,amazon_price,new_3p_price,buy_box_price,list_price,amazon_price_history_points,new_3p_price_history_points,list_price_history_points,new_3p_price_90d_min,new_3p_price_90d_avg,new_3p_price_90d_max,amazon_price_90d_min,amazon_price_90d_avg,amazon_price_90d_max,list_price_90d_min,list_price_90d_avg,list_price_90d_max
B0CZMNK3Z7,"TCL 43-Inch Class S5 4K UHD LED Smart TV with Google TV (43S551G, 2024 Model), Google Assistant Built-in with Voice Remote, Compatible with Alexa, Streaming Television",TCL,,275.22,,,6.0,219.0,12.0,260.89,280.9152112676057,289.36,,,,,,
B0CZMGCKT6,TCL 75S551G 75 inch S5 S-Class LED 4K UHD HDR Smart Google TV,TCL,,,,,1.0,12.0,87.0,765.53,768.18,772.23,,,,579.95,673.0525,766.78
B0CZLZPQV8,"TCL 85-Inch Class S5 4K UHD LED Smart TV with Google TV (85S551G, 2024 Model), Google Assistant Built-in with Voice Remote, Compatible with Alexa, Streaming Television",TCL,,1345.54,,,134.0,524.0,733.0,849.99,1085.41,1345.54,,,,849.99,849.99,849.99
B0CY18SS15,,,,,,,1.0,1.0,,,,,,,,,,
B0CXZVSNRN,,,,,,,1.0,1.0,,,,,,,,,,
B0CY1BNH61,,,,,,,1.0,1.0,,,,,,,,,,
B0D2PNH494,"Hisense 55-Inch Class QLED 4K S7N CanvasTV Series Dolby Vision HDR Google Smart TV (55S7N) - 144Hz, Art Mode, Anti-Glare Panel, Hi-Matte Display, Frame & UltraSlim Wall Mount Included",Hisense,599.99,599.99,,619.99,361.0,1078.0,2034.0,599.99,652.8736363636361,1099.99,599.99,637.2230303030302,699.99,599.99,684.099655172414,699.99
B0D2PNVJFT,"Hisense 65-Inch Class QLED 4K S7N CanvasTV™ Series Dolby Vision HDR Google Smart TV (65S7N) - 144Hz, Art Mode, Anti-Glare Panel, Hi-Matte Display, Frame & UltraSlim Wall Mount Included",Hisense,799.96,799.96,,,316.0,1199.0,2172.0,789.99,825.7386111111114,1029.0,799.96,825.9122580645162,889.99,799.96,860.1069387755101,889.99
B0F363GQZF,"Hisense 75-Inch Class QLED 4K S7N CanvasTV Series Dolby Vision HDR Google Smart TV (75S7N) - 144Hz, Art Mode, Anti-Glare Panel, Hi-Matte Display, UltraSlim Wall Mount & Frame Included",Hisense,1597.88,1249.99,,,249.0,355.0,1179.0,999.99,1194.3451428571427,1547.91,999.99,1373.442285714286,2499.99,999.99,1218.6460606060607,1547.91
B0F35W3T1C,"Hisense 85-Inch Class QLED 4K S7N CanvasTV Series Dolby Vision HDR Google Smart TV (85S7N) - 144Hz, Art Mode, Anti-Glare Panel, Hi-Matte Display, UltraSlim Wall Mount & Frame Included",Hisense,1700.99,1629.99,,1700.99,130.0,161.0,357.0,1629.99,1804.1171428571433,1889.99,1697.97,1795.7728571428572,1899.99,1629.99,1737.916808510639,1899.99
