amazon_asin,keepa_title,keepa_brand,amazon_price,new_3p_price,buy_box_price,list_price,amazon_price_90d_min,amazon_price_90d_avg,amazon_price_90d_max,amazon_price_history_points,new_3p_price_90d_min,new_3p_price_90d_avg,new_3p_price_90d_max,new_3p_price_history_points,list_price_90d_min,list_price_90d_avg,list_price_90d_max,list_price_history_points
B0CV24GQ9W,"ASUS ROG Strix 27” QHD (2560x1440) HDR400 USB-C Gaming Monitor (XG27ACS), 180Hz,1ms, Fast IPS, 133% sRGB, Extreme Low Motion Blur Sync, G-Sync Compatible, DisplayWidget, Tripod Socket, 3 Year Warranty",ASUS,269.0,244.99,,244.99,254.99,276.68170329670335,299.99,1007.0,244.99,257.3531952662722,280.15,1372.0,244.99,259.3377575757576,299.99,5158.0
B0D7NXSQ44,"ASUS ROG Swift OLED 27” 1440P Gaming Monitor (PG27AQDP) - WOLED, QHD, 480Hz, 0.03ms, G-SYNC Compatible, Custom Heatsink, AI Assistant, DisplayHDR400 True Black, 99% DCI-P3, True 10-bit, DisplayWidget",ASUS,798.76,779.0,,789.0,699.0,784.7955813953488,799.0,183.0,699.0,765.9914285714285,799.0,198.0,699.0,789.3733152173913,799.0,1029.0
B0D685SYKN,"msi MPG 341CQPX QD-OLED 34 Inch UWQHD Curved Gaming Monitor- 3440x1440(21:9) QD-OLED Panel,240Hz/0.03ms,G-Sync Compatible,99.3% DCI-P3,ΔE≤2,DisplayHDR True Black 400,DP 1.4a,HDMI,USB Type C (PD 98W)",msi,,,,,663.4,699.7437962962964,749.99,263.0,654.49,812.8303636363638,1078.33,354.0,663.4,746.0272727272727,814.99,489.0
B0D1DBQRRS,"SAMSUNG 32-Inch M8 (M80D) Series 4K UHD Smart Monitor with Streaming TV, Speakers, HDR10+, AI Upscaling, USB-C, Ergonomic Stand, SlimFit Camera, Gaming Hub, LS32DM801UNXZA, 2024",Samsung,560.88,560.88,,,538.03,643.5939215686275,1169.99,493.0,538.03,638.1841176470589,1169.99,447.0,542.05,621.1519999999999,665.83,1180.0
B0D9R8YPK3,"Sony INZONE M9 II 27” 4K UHD (3840 x 2160) 160Hz Full Array LED 1ms GtG NVIDIA G-SYNC Gaming Monitor, DisplayHDR 600, Built-in Speakers, DisplayPort 2.1 (UHBR10) /VRR HDMI 2.1-3 Year Limited Warranty",Sony,,,,,,,,73.0,,,,83.0,,,,373.0
B0DGMQ2M1G,"Dell G2725D Gaming Monitor - 27-inch QHD (2560x1440) up to 180 Hz, 2ms Response time, 99% RGB Display, DisplayPort/HDMI Connectivity, AMD FreeSync, Comfortview, Tilt Adjustable - Black",Dell,149.99,149.99,,149.99,149.99,149.99,149.99,238.0,149.99,166.1985714285714,299.0,328.0,149.99,149.99,149.99,1147.0
B0D7NSZRJW,"ASUS ROG Strix 26.5” 1440P QD-OLED Gaming Monitor (XG27ACDNG) -QHD (2560x1440), 360Hz, 0.03ms, Custom Heatsink, OLED Care+, G-SYNC Compatible, 99% DCI-P3, DisplayWidget, AI Gaming, 3yr Warranty",ASUS,729.64,722.99,,725.0,599.0,703.1966666666666,737.54,239.0,599.0,706.9634831460672,725.1,376.0,599.99,725.7588495575222,737.54,1036.0
B0DMPTN8DG,"LG 27GX790A-B 27-inch Ultragear OLED Gaming Monitor QHD 1440p 480Hz, 0.03ms, DisplayPort 2.1, True Black 400, NVIDIA G-Sync, AMD FreeSync Premium Pro, HDMI, USB, Tilt/Height/Swivel/Pivot Stand, Black",LG,689.0,689.0,,689.0,689.0,760.7384210526316,999.0,515.0,599.99,724.0736046511628,843.0,751.0,599.99,729.6521111111111,999.99,1914.0
B0DTJRWVVW,"msi MPG 322URX QD-OLED 32-inch 3840 x 2160 (UHD) Computer Monitor, 240Hz, Adaptive-Synch, HDMI, DP Port, VESA Mountable, Tilt, Speaker, 0.03ms, Black",msi,949.99,949.99,,949.99,949.99,989.594,999.99,95.0,949.99,1060.4963636363636,1099.0,193.0,999.0,999.0,999.0,270.0
B0CXW2BH8C,"Dell G2524H Gaming Monitor - 24.5-inch FHD (1920x1080) 280Hz 0.5Ms Display, AMD FreeSync+NVIDIA G-SYNC Adaptive Sync Technology, Height/Pivot/Swivel/Tilt Adjustability - Black",Dell,,,,,,,,178.0,299.99,299.99,299.99,256.0,,,,1158.0
B0D682HF6R,"AOC Agon PRO 27"" QD-OLED Gaming Monitor, QHD 2560x1440, 240Hz, 0.03ms GtG, HDR400 True Black, Adaptive Sync, Height Adjustable, DisplayPort, HDMI, USB, Built-in Speakers, AG276QZD2",AOC,499.99,499.99,,499.99,439.99,485.60999999999996,499.99,460.0,439.99,500.875,638.26,761.0,439.99,484.99,499.99,1099.0
B0DM6SHQTN,"ASUS ROG Swift 27” 4K QD-OLED Gaming Monitor (PG27UCDM) - 240Hz, 0.03ms, Custom Heatsink, Neo Proximity Sensor, G-SYNC Compatible, 99% DCI-P3, True 10-bit color, DisplayPort 2.1a UHBR20, 3 yr warranty",ASUS,1099.99,1099.99,,1099.99,962.19,1010.4699999999999,1099.99,79.0,929.98,1030.8536363636367,1099.99,188.0,939.99,998.5756000000001,1099.99,220.0
B0F18Q2GPN,Dell UltraSharp U2725QE 27 Inch 4K UHD IPS Black Monitor with 120Hz and Thunderbolt 4,Dell,,641.95,,641.95,,,,1.0,612.59,654.5535333333333,803.11,605.0,609.0,641.4972777777779,659.99,2272.0
B0FDCLPZC6,"Dell UltraSharp U3225QE 31.5"" 16:9 4K Ultra HD 120Hz Thunderbolt Hub IPS Black LED HDR Monitor",Dell,,779.99,,780.0,,,,1.0,729.99,790.7324242424245,840.13,360.0,729.99,789.714674556213,804.69,1431.0
B0CT441B25,"BenQ PD3225U 32 Inch 4K IPS Black UHD Thunderbolt Monitor for MacBook, AQCOLOR, 98% P3, 100% sRGB & Rec.709, DeltaE ≤2, Uniformity, Factory Calibration, USB-C 85W, USB Hub, Daisy Chain, KVM Switch",BenQ,,849.99,,849.99,,,,48.0,849.99,849.99,849.99,49.0,,,,141.0
B0DYG9DKX8,"LG 45GX950A-B 45-inch Ultragear 5K2K WUHD (5120 x 2160) OLED Curved Gaming Monitor, Dual-Mode, 165Hz, 0.03ms, NVIDIA G-Sync, AMD FreeSync Premium Pro, HDR True Black 400, USB Type-C 90W, DP2.1",LG,1469.0,1449.98,,1469.0,1369.99,1758.8858020477817,1999.99,672.0,1349.99,1707.6865217391305,1949.0,1435.0,1349.99,1747.9188111888113,1999.99,2826.0
B0DWBSNVHS,"Samsung 27-inch Odyssey 3D G90XF, 4K, 165Hz, Gaming Monitor, 1ms Response Time, AMD FreeSync Premium, Glasses-Free, Ergonomic Stand, LS27FG900XNXZA, 2025",Samsung,1299.99,1299.99,,1299.99,1113.5,1559.0883333333331,1999.99,141.0,1113.5,1508.3216,1999.0,159.0,1180.36,1566.45,1999.99,333.0
B0DZL719V1,"Alienware 34 Curved Gaming Monitor – AW3425DWM - 34-inch WQHD 180Hz 1ms Display, 1500R, AMD FreeSync Premium, VESA AdaptiveSync.",Alienware,349.99,338.9,,338.9,289.99,311.41857142857145,349.99,130.0,289.99,341.6640909090909,349.99,115.0,299.99,344.1425490196078,349.99,922.0
B0F1435R1F,Alienware AW3225DM 31.5 2K WQHD 2560 X 1440 180HZ Gaming Monitor,Alienware,,349.0,,,,,,1.0,337.99,362.3725,425.0,161.0,337.99,345.7425,369.0,192.0
B0DVM3BJHK,"SAMSUNG 27-inch Odyssey QD-OLED G8 (G81SF), 4K, 240Hz, Gaming Monitor, 0.03ms Response Time, DisplayHDR True Black 400, AMD FreeSync™ Premium Pro, Ergonomic Stand, LS27FG810SNXZA, 2025",Samsung,849.99,849.99,,849.99,799.99,974.6368571428571,1299.99,212.0,799.99,1006.1590000000002,1299.99,333.0,799.99,904.8096296296295,1299.99,870.0
B0DSTPTMNS,"LG 27G850A-B 27-inch Ultragear 4K UHD (3840 x 2160) IPS Gaming Monitor, Dual-Mode 240Hz, 1ms, NVIDIA G-Sync Compatible, AMD FreeSync Premium Pro, VESA DisplayHDR 600, HDMI, DisplayPort 2.1, Black",LG,599.99,599.99,,599.99,455.0,508.8657446808512,899.99,297.0,455.0,530.3138,647.99,430.0,456.61,530.2000000000002,899.99,942.0
